acquisition_function,dataset_name,model_name,mean_and_stats_for_last_iter,cycle,budget
entropy,yeast-0-5-6-7-9_vs_4,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.23739042401883145, 'Precision_std': 0.21083718921613678, 'Recall_mean': 0.4136363636363637, 'Recall_std': 0.2913585542978521, 'F1-score_mean': 0.26190763424997376, 'F1-score_std': 0.1914185242452322, 'Accuracy_mean': 0.7471877807726864, 'Accuracy_std': 0.20108292572589506, 'Labelled Samples_mean': 92.0, 'Labelled Samples_std': 0.0}",4,50
entropy,yeast-2_vs_4,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.6626029526029525, 'Precision_std': 0.236409549534109, 'Recall_mean': 0.71, 'Recall_std': 0.19612639990142075, 'F1-score_mean': 0.6406179893079207, 'F1-score_std': 0.1477005151420279, 'Accuracy_mean': 0.9153436131734247, 'Accuracy_std': 0.05218730006535614, 'Labelled Samples_mean': 91.0, 'Labelled Samples_std': 0.0}",4,50
entropy,shuttle-6_vs_2-3,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.9, 'Precision_std': 0.31622776601683794, 'Recall_mean': 0.9, 'Recall_std': 0.31622776601683794, 'F1-score_mean': 0.9, 'F1-score_std': 0.31622776601683794, 'Accuracy_mean': 0.9847826086956522, 'Accuracy_std': 0.0481216165677797, 'Labelled Samples_mean': 68.0, 'Labelled Samples_std': 0.0}",4,50
entropy,glass1,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.4053100174679122, 'Precision_std': 0.24573372932938617, 'Recall_mean': 0.34458333333333335, 'Recall_std': 0.26688395371975143, 'F1-score_mean': 0.3006490731512028, 'F1-score_std': 0.1719851199894397, 'Accuracy_mean': 0.5040974529346622, 'Accuracy_std': 0.1732928449095787, 'Labelled Samples_mean': 67.0, 'Labelled Samples_std': 0.0}",4,50
entropy,kddcup-rootkit-imap_vs_back,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.8680555555555556, 'Precision_std': 0.21449229460389585, 'Recall_mean': 0.8300000000000001, 'Recall_std': 0.1669996673316713, 'F1-score_mean': 0.8194139194139194, 'F1-score_std': 0.12886104668371315, 'Accuracy_mean': 0.9959550561797752, 'Accuracy_std': 0.0037899956975800983, 'Labelled Samples_mean': 228.0, 'Labelled Samples_std': 0.0}",4,50
entropy,kddcup-land_vs_portsweep,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.8984615384615384, 'Precision_std': 0.19877335869334384, 'Recall_mean': 0.9, 'Recall_std': 0.21081851067789195, 'F1-score_mean': 0.8666666666666666, 'F1-score_std': 0.17213259316477406, 'Accuracy_mean': 0.9934139427761538, 'Accuracy_std': 0.011544082009016392, 'Labelled Samples_mean': 134.0, 'Labelled Samples_std': 0.0}",4,50
entropy,kddcup-land_vs_satan,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.7714285714285715, 'Precision_std': 0.3821410028140739, 'Recall_mean': 0.765, 'Recall_std': 0.3266411554664299, 'F1-score_mean': 0.7295454545454545, 'F1-score_std': 0.3282535815341183, 'Accuracy_mean': 0.9922360248447205, 'Accuracy_std': 0.010169193946370812, 'Labelled Samples_mean': 178.0, 'Labelled Samples_std': 0.0}",4,50
entropy,glass5,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.1376190476190476, 'Precision_std': 0.1978015986062466, 'Recall_mean': 0.3, 'Recall_std': 0.4216370213557839, 'F1-score_mean': 0.17214285714285715, 'F1-score_std': 0.23633755980984222, 'Accuracy_mean': 0.816389811738649, 'Accuracy_std': 0.17981626574871934, 'Labelled Samples_mean': 67.0, 'Labelled Samples_std': 0.0}",4,50
entropy,shuttle-2_vs_5,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.7743153838618032, 'Precision_std': 0.4076133007730793, 'Recall_mean': 0.9077777777777778, 'Recall_std': 0.15432049382637036, 'F1-score_mean': 0.765851533421514, 'F1-score_std': 0.3935581196196606, 'Accuracy_mean': 0.8846167475331189, 'Accuracy_std': 0.26402774847898425, 'Labelled Samples_mean': 315.0, 'Labelled Samples_std': 0.0}",4,50
entropy,car-vgood,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.20462962962962963, 'Precision_std': 0.3255390169818411, 'Recall_mean': 0.21538461538461542, 'Recall_std': 0.3007769907408242, 'F1-score_mean': 0.17982255500282066, 'F1-score_std': 0.23573048708658745, 'Accuracy_mean': 0.9447574767529531, 'Accuracy_std': 0.023578433069613415, 'Labelled Samples_mean': 188.0, 'Labelled Samples_std': 0.0}",4,50
entropy,glass-0-6_vs_5,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.40617826617826613, 'Precision_std': 0.28292749847965426, 'Recall_mean': 0.85, 'Recall_std': 0.3374742788552764, 'F1-score_mean': 0.5179509379509379, 'F1-score_std': 0.2854939462597223, 'Accuracy_mean': 0.8428571428571429, 'Accuracy_std': 0.15623847820815379, 'Labelled Samples_mean': 58.0, 'Labelled Samples_std': 0.0}",4,50
entropy,ecoli-0-2-6-7_vs_3-5,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.5057720057720058, 'Precision_std': 0.2512093799447824, 'Recall_mean': 0.76, 'Recall_std': 0.2643650674519781, 'F1-score_mean': 0.5362637362637362, 'F1-score_std': 0.19161318084773143, 'Accuracy_mean': 0.8131313131313131, 'Accuracy_std': 0.2587686117672348, 'Labelled Samples_mean': 67.2, 'Labelled Samples_std': 0.4216370213557811}",4,50
entropy,glass4,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.37787878787878787, 'Precision_std': 0.4028367171340766, 'Recall_mean': 0.3833333333333333, 'Recall_std': 0.3337959752399956, 'F1-score_mean': 0.29315018315018315, 'F1-score_std': 0.256691342530296, 'Accuracy_mean': 0.6880952380952381, 'Accuracy_std': 0.30296628307698487, 'Labelled Samples_mean': 67.0, 'Labelled Samples_std': 0.0}",4,50
entropy,glass6,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.5276837704778881, 'Precision_std': 0.217527515250835, 'Recall_mean': 0.8166666666666667, 'Recall_std': 0.14593250596181886, 'F1-score_mean': 0.6128357008152404, 'F1-score_std': 0.18132589568257768, 'Accuracy_mean': 0.8182724252491693, 'Accuracy_std': 0.18119201261238582, 'Labelled Samples_mean': 67.0, 'Labelled Samples_std': 0.0}",4,50
entropy,pima,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.4834470449485876, 'Precision_std': 0.07413819301315011, 'Recall_mean': 0.5155485674353598, 'Recall_std': 0.15854387264384548, 'F1-score_mean': 0.48873262510045556, 'F1-score_std': 0.10578117214513612, 'Accuracy_mean': 0.6367201426024955, 'Accuracy_std': 0.06178590971252415, 'Labelled Samples_mean': 111.0, 'Labelled Samples_std': 0.0}",4,50
entropy,abalone-20_vs_8-9-10,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.15809689214235553, 'Precision_std': 0.3026953977370776, 'Recall_mean': 0.47000000000000003, 'Recall_std': 0.3349774269159191, 'F1-score_mean': 0.11712092800309475, 'F1-score_std': 0.10549985947080766, 'Accuracy_mean': 0.7360082136640557, 'Accuracy_std': 0.33480684181138415, 'Labelled Samples_mean': 203.0, 'Labelled Samples_std': 0.0}",4,50
entropy,ecoli-0-1-4-6_vs_5,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.7107539682539683, 'Precision_std': 0.2380286833787624, 'Recall_mean': 0.725, 'Recall_std': 0.2486072315029383, 'F1-score_mean': 0.6667260517260518, 'F1-score_std': 0.17350292611101084, 'Accuracy_mean': 0.9482142857142858, 'Accuracy_std': 0.030872148761642747, 'Labelled Samples_mean': 72.0, 'Labelled Samples_std': 0.0}",4,50
entropy,ecoli-0-2-3-4_vs_5,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.6440143369175627, 'Precision_std': 0.3417406376364527, 'Recall_mean': 0.65, 'Recall_std': 0.29344694769431684, 'F1-score_mean': 0.5488316946211682, 'F1-score_std': 0.24614446292213707, 'Accuracy_mean': 0.8456707317073171, 'Accuracy_std': 0.20331166808052423, 'Labelled Samples_mean': 66.0, 'Labelled Samples_std': 0.0}",4,50
entropy,ecoli-0-3-4-7_vs_5-6,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.29741303659153556, 'Precision_std': 0.26881989019840047, 'Recall_mean': 0.6599999999999999, 'Recall_std': 0.3777124126457412, 'F1-score_mean': 0.3630426147067014, 'F1-score_std': 0.2842377506026075, 'Accuracy_mean': 0.653318250377074, 'Accuracy_std': 0.3476302494435759, 'Labelled Samples_mean': 70.0, 'Labelled Samples_std': 0.0}",4,50
entropy,ecoli-0-1-4-7_vs_2-3-5-6,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.36981359954307713, 'Precision_std': 0.24937470142131762, 'Recall_mean': 0.5866666666666667, 'Recall_std': 0.2578160891070787, 'F1-score_mean': 0.3997525565250023, 'F1-score_std': 0.21663035008395604, 'Accuracy_mean': 0.7673397717295873, 'Accuracy_std': 0.2728199877239136, 'Labelled Samples_mean': 76.0, 'Labelled Samples_std': 0.0}",4,50
entropy,ecoli4,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.6720512820512821, 'Precision_std': 0.35301618257366996, 'Recall_mean': 0.725, 'Recall_std': 0.27512623365365296, 'F1-score_mean': 0.5737373737373737, 'F1-score_std': 0.23181293087422047, 'Accuracy_mean': 0.8821992976294994, 'Accuracy_std': 0.17446177810668678, 'Labelled Samples_mean': 76.0, 'Labelled Samples_std': 0.0}",4,50
entropy,kr-vs-k-zero_vs_fifteen,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.44545454545454544, 'Precision_std': 0.4852271248787417, 'Recall_mean': 0.5333333333333334, 'Recall_std': 0.48304589153964794, 'F1-score_mean': 0.4316498316498317, 'F1-score_std': 0.43230947971967576, 'Accuracy_mean': 0.9751370383083179, 'Accuracy_std': 0.022112544632450236, 'Labelled Samples_mean': 225.0, 'Labelled Samples_std': 0.0}",4,50
entropy,abalone-19_vs_10-11-12-13,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.01398589065255731, 'Precision_std': 0.024707037097964565, 'Recall_mean': 0.0976190476190476, 'Recall_std': 0.21011520673378462, 'F1-score_mean': 0.02280084447572131, 'F1-score_std': 0.03943070511352004, 'Accuracy_mean': 0.9195194681861348, 'Accuracy_std': 0.06668728758859425, 'Labelled Samples_mean': 179.0, 'Labelled Samples_std': 0.0}",4,50
entropy,new-thyroid1,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.8601190476190477, 'Precision_std': 0.17562045823728492, 'Recall_mean': 0.8, 'Recall_std': 0.16768397011103822, 'F1-score_mean': 0.8054945054945055, 'F1-score_std': 0.13309159747245103, 'Accuracy_mean': 0.9348837209302324, 'Accuracy_std': 0.056753504551079484, 'Labelled Samples_mean': 67.0, 'Labelled Samples_std': 0.0}",4,50
entropy,haberman,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.3712660662351065, 'Precision_std': 0.07580754854932092, 'Recall_mean': 0.4073529411764706, 'Recall_std': 0.07734775324932318, 'F1-score_mean': 0.3854185072451326, 'F1-score_std': 0.0674796486457105, 'Accuracy_mean': 0.6552617662612374, 'Accuracy_std': 0.05236331133877116, 'Labelled Samples_mean': 74.0, 'Labelled Samples_std': 0.0}",4,50
entropy,abalone-3_vs_11,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.975, 'Precision_std': 0.07905694150420951, 'Recall_mean': 1.0, 'Recall_std': 0.0, 'F1-score_mean': 0.9857142857142858, 'F1-score_std': 0.04517539514526258, 'Accuracy_mean': 0.999, 'Accuracy_std': 0.00316227766016839, 'Labelled Samples_mean': 90.0, 'Labelled Samples_std': 0.0}",4,50
entropy,poker-8-9_vs_5,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.01428571428571428, 'Precision_std': 0.045175395145262545, 'Recall_mean': 0.04, 'Recall_std': 0.1264911064067352, 'F1-score_mean': 0.021052631578947358, 'F1-score_std': 0.06657426652986059, 'Accuracy_mean': 0.9754216867469878, 'Accuracy_std': 0.00809613054994642, 'Labelled Samples_mean': 216.0, 'Labelled Samples_std': 0.0}",4,50
entropy,yeast-0-3-5-9_vs_7-8,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.2508316683316683, 'Precision_std': 0.10724069442130932, 'Recall_mean': 0.25, 'Recall_std': 0.1509230856356236, 'F1-score_mean': 0.2309187370600414, 'F1-score_std': 0.09450361296543389, 'Accuracy_mean': 0.8468355659095321, 'Accuracy_std': 0.035590513440057286, 'Labelled Samples_mean': 90.0, 'Labelled Samples_std': 0.0}",4,50
entropy,glass-0-1-6_vs_5,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.2233187134502924, 'Precision_std': 0.337106812134051, 'Recall_mean': 0.4, 'Recall_std': 0.39440531887330776, 'F1-score_mean': 0.22338345864661652, 'F1-score_std': 0.27889420935668124, 'Accuracy_mean': 0.7811561561561562, 'Accuracy_std': 0.20442282613494553, 'Labelled Samples_mean': 64.0, 'Labelled Samples_std': 0.0}",4,50
entropy,kr-vs-k-zero_vs_eight,decision_tree,"{'Class_mean': 1.0, 'Class_std': 0.0, 'Precision_mean': 0.6490497307570477, 'Precision_std': 0.3912996036612843, 'Recall_mean': 0.6599999999999999, 'Recall_std': 0.4427188724235731, 'F1-score_mean': 0.5392681786298807, 'F1-score_std': 0.3637963377157314, 'Accuracy_mean': 0.9753424657534246, 'Accuracy_std': 0.03698348261427688, 'Labelled Samples_mean': 166.0, 'Labelled Samples_std': 0.0}",4,50
